"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2022","1,340.60","1,339.54","1,344.81","1,337.75","","0.11%"
"08/23/2022","1,339.17","1,343.73","1,347.01","1,334.64","","-0.32%"
"08/22/2022","1,343.43","1,335.78","1,346.82","1,334.29","","0.59%"
"08/19/2022","1,335.61","1,327.23","1,338.42","1,324.15","","0.66%"
"08/18/2022","1,326.84","1,315.25","1,329.42","1,312.55","","0.91%"
"08/17/2022","1,314.88","1,311.40","1,317.88","1,308.20","","0.29%"
"08/16/2022","1,311.04","1,313.55","1,314.21","1,307.77","","0.04%"
"08/15/2022","1,310.52","1,302.34","1,312.60","1,302.16","","0.71%"
"08/12/2022","1,301.31","1,307.05","1,307.62","1,299.34","","-0.29%"
"08/11/2022","1,305.14","1,297.54","1,305.68","1,296.48","","0.60%"
"08/10/2022","1,297.33","1,307.52","1,312.06","1,297.49","","-0.67%"
"08/09/2022","1,306.14","1,300.11","1,308.74","1,299.39","","0.54%"
"08/08/2022","1,299.10","1,303.70","1,307.48","1,298.70","","-0.24%"
"08/05/2022","1,302.24","1,302.81","1,305.85","1,294.54","","-0.01%"
"08/04/2022","1,302.41","1,308.23","1,312.49","1,301.85","","-0.41%"
"08/03/2022","1,307.82","1,315.30","1,315.98","1,306.40","","-0.30%"
"08/02/2022","1,311.82","1,307.74","1,313.33","1,304.20","","0.34%"
"08/01/2022","1,307.33","1,303.29","1,309.99","1,301.09","","0.33%"
"07/29/2022","1,302.97","1,296.07","1,309.40","1,295.55","","0.58%"
"07/28/2022","1,295.47","1,306.37","1,309.68","1,296.07","","-0.81%"
"07/27/2022","1,306.08","1,311.03","1,316.68","1,305.74","","-0.31%"
"07/26/2022","1,310.10","1,311.47","1,313.60","1,306.75","","-0.08%"
"07/25/2022","1,311.12","1,310.60","1,313.97","1,307.33","","0.08%"
"07/22/2022","1,310.01","1,306.66","1,316.22","1,306.22","","0.29%"
"07/21/2022","1,306.16","1,313.70","1,316.88","1,306.55","","-0.53%"
"07/20/2022","1,313.10","1,304.38","1,314.22","1,302.35","","0.61%"
"07/19/2022","1,305.12","1,319.20","1,319.99","1,305.38","","-1.00%"
"07/18/2022","1,318.30","1,319.15","1,322.13","1,312.97","","0.04%"
"07/15/2022","1,317.74","1,317.57","1,329.58","1,316.60","","0.10%"
"07/14/2022","1,316.41","1,305.10","1,327.31","1,303.55","","0.90%"
"07/13/2022","1,304.73","1,306.45","1,310.83","1,301.75","","-0.04%"
"07/12/2022","1,305.21","1,311.16","1,316.73","1,305.01","","-0.43%"
"07/11/2022","1,310.81","1,294.79","1,314.39","1,294.62","","1.25%"
"07/08/2022","1,294.68","1,297.97","1,303.68","1,292.29","","-0.23%"
"07/07/2022","1,297.62","1,305.14","1,308.74","1,295.90","","-0.55%"
"07/06/2022","1,304.79","1,309.09","1,311.02","1,302.81","","-0.32%"
"07/05/2022","1,308.95","1,296.06","1,315.57","1,293.68","","1.01%"
"07/04/2022","1,295.87","1,298.92","1,300.16","1,292.05","","-0.22%"
"07/01/2022","1,298.67","1,288.05","1,302.81","1,287.80","","0.87%"
"06/30/2022","1,287.51","1,301.96","1,304.24","1,287.35","","-1.11%"
"06/29/2022","1,301.90","1,292.43","1,302.80","1,289.34","","0.76%"
"06/28/2022","1,292.06","1,286.63","1,293.00","1,281.46","","0.45%"
"06/27/2022","1,286.31","1,289.29","1,293.35","1,280.58","","-0.20%"
"06/24/2022","1,288.89","1,300.14","1,302.32","1,288.11","","-0.84%"
"06/23/2022","1,299.81","1,297.69","1,307.92","1,296.32","","0.17%"
"06/22/2022","1,297.58","1,292.08","1,305.26","1,290.69","","0.45%"
"06/21/2022","1,291.72","1,292.55","1,294.29","1,287.34","","0.01%"
"06/20/2022","1,291.54","1,291.50","1,296.26","1,287.91","","0.02%"
"06/17/2022","1,291.26","1,288.57","1,296.67","1,282.29","","0.24%"
"06/16/2022","1,288.23","1,278.38","1,296.59","1,277.06","","0.81%"
"06/15/2022","1,277.90","1,289.92","1,293.72","1,278.02","","-0.90%"
"06/14/2022","1,289.57","1,291.88","1,292.65","1,285.25","","-0.16%"
"06/13/2022","1,291.68","1,279.43","1,294.37","1,278.88","","0.97%"
"06/10/2022","1,279.32","1,264.38","1,283.85","1,263.14","","1.21%"
"06/09/2022","1,264.04","1,257.22","1,267.19","1,253.34","","0.58%"
"06/08/2022","1,256.81","1,254.85","1,258.92","1,253.17","","0.20%"
"06/07/2022","1,254.36","1,254.80","1,260.15","1,253.06","","-0.01%"
